Date,Open,High,Low,Close,Adj Close,Volume
2022-09-04,117.711906,118.137352,116.453934,118.137352,118.137352,175273025
2022-09-05,118.128571,125.904358,117.302635,125.668602,125.668602,251185197
2022-09-06,125.688896,127.477402,112.488419,112.500648,112.500648,295404896
2022-09-07,112.434669,119.159294,111.366165,118.645798,118.645798,263199586
2022-09-08,118.647820,129.376022,116.555840,127.144073,127.144073,487324244
2022-09-09,127.104408,138.001587,126.390915,132.775620,132.775620,460606403
2022-09-10,132.726791,134.455154,130.945801,132.806320,132.806320,298635594
2022-09-11,132.795074,133.119583,128.434570,130.256241,130.256241,244950894
2022-09-12,130.253525,132.458008,127.213234,128.761108,128.761108,297325655
2022-09-13,128.769043,133.222504,117.198235,119.038307,119.038307,347352925
2022-09-14,117.581619,120.533058,117.162148,120.230644,120.230644,218964930
2022-09-15,120.228508,122.601181,116.853485,117.833244,117.833244,264217879
2022-09-16,117.844307,120.590553,116.796753,119.555992,119.555992,226130263
2022-09-17,119.567337,123.084633,119.556252,122.251656,122.251656,197971193
2022-09-18,122.230721,122.253777,111.802948,111.872368,111.872368,223851169
2022-09-19,111.866493,113.084984,107.201820,112.228767,112.228767,259524012
2022-09-20,112.243385,114.546700,111.453979,112.892273,112.892273,234825794
2022-09-21,112.882301,118.521942,109.168259,109.463127,109.463127,288706877
2022-09-22,109.511848,116.628365,109.104912,116.539223,116.539223,224536083
2022-09-23,116.535934,120.227127,113.300781,120.061188,120.061188,284423405
2022-09-24,120.059212,121.753250,117.920769,117.920769,117.920769,246871367
2022-09-25,117.922562,118.334190,112.715675,113.500053,113.500053,231914637
2022-09-26,113.495155,117.077103,112.905098,116.202599,116.202599,262464085
2022-09-27,116.210472,120.152405,112.852890,114.407280,114.407280,287910263
2022-09-28,114.379662,115.558182,110.728127,114.262283,114.262283,257950036
2022-09-29,114.251480,117.563744,114.033974,116.740120,116.740120,271450641
2022-09-30,116.745178,124.269897,115.762550,120.040298,120.040298,363557308
2022-10-01,120.022171,120.726868,116.181541,117.183189,117.183189,202425471
2022-10-02,117.171776,118.355034,114.309540,114.403969,114.403969,207890715
2022-10-03,114.411003,116.369850,114.104172,116.260185,116.260185,197753341
2022-10-04,116.256920,121.860603,115.757156,121.245598,121.245598,214269001
2022-10-05,121.242447,123.328484,119.327286,122.218834,122.218834,188639642
2022-10-06,122.227798,123.506783,118.214622,118.438828,118.438828,181434060
2022-10-07,118.438759,120.096893,115.854263,116.798721,116.798721,178326597
2022-10-08,116.787598,118.269958,115.826027,116.977509,116.977509,149502325
2022-10-09,116.962517,118.269211,116.743507,117.227936,117.227936,158347102
2022-10-10,117.232605,117.917198,111.730362,111.730362,111.730362,185761107
2022-10-11,111.719490,112.202026,109.897408,111.113068,111.113068,186705924
2022-10-12,111.118286,112.314392,110.904694,111.901840,111.901840,181789992
2022-10-13,111.895462,112.673050,103.090950,108.977539,108.977539,322998475
2022-10-14,108.968941,111.628242,106.999466,107.548912,107.548912,211846099
2022-10-15,107.541916,109.213219,107.053467,108.067184,108.067184,167106067
2022-10-16,108.069992,110.838379,108.053978,110.333496,110.333496,177467027
2022-10-17,110.327301,111.341331,109.409027,110.584511,110.584511,185301371
2022-10-18,110.574028,111.341309,107.511436,108.722084,108.722084,216478780
2022-10-19,108.727646,108.867943,106.042671,106.155853,106.155853,161389501
2022-10-20,106.138924,108.721367,105.473930,106.390167,106.390167,170432867
2022-10-21,106.392159,107.244957,103.546738,107.005615,107.005615,204900553
2022-10-22,107.014900,110.216957,106.411987,108.700371,108.700371,181042453
2022-10-23,108.701988,110.902382,108.031868,110.886421,110.886421,185071846
2022-10-24,110.887283,111.047348,107.652229,107.931328,107.931328,206923841
2022-10-25,107.931015,113.906647,107.866196,112.795784,112.795784,215642849
2022-10-26,112.773804,116.099030,112.302109,114.589546,114.589546,397995808
2022-10-27,114.590523,116.721886,112.159264,112.555153,112.555153,443888620
2022-10-28,112.554741,116.009354,111.340111,115.577812,115.577812,487781698
2022-10-29,115.565643,120.253914,115.508110,118.458168,118.458168,533574676
2022-10-30,118.457985,119.952187,114.976395,116.289879,116.289879,471100285
2022-10-31,116.270515,117.612579,113.869843,115.109947,115.109947,444780235
2022-11-01,115.111443,116.370544,114.204475,115.005020,115.005020,456423614
2022-11-02,115.000465,121.175438,112.508400,113.506332,113.506332,648808851
2022-11-03,113.521950,119.702393,113.417763,115.757629,115.757629,548999513
2022-11-04,115.731277,124.084015,115.335182,123.983353,123.983353,657069486
2022-11-05,124.031082,125.387909,122.963425,123.742043,123.742043,430694834
2022-11-06,123.747147,123.998329,116.663208,116.683861,116.683861,342636984
2022-11-07,116.690010,119.266846,115.677460,117.713440,117.713440,340585029
2022-11-08,117.705238,118.599060,98.842384,103.181023,103.181023,735395027
2022-11-09,103.179245,103.763680,88.286385,89.351791,89.351791,677592889
2022-11-10,89.369110,105.605537,88.536499,102.827660,102.827660,451189311
2022-11-11,102.819229,106.031075,100.104210,102.731155,102.731155,291046683
2022-11-12,102.748688,102.869942,98.551872,102.318283,102.318283,197959492
2022-11-13,102.318146,103.223854,98.831062,99.646507,99.646507,209882318
2022-11-14,99.624443,104.376518,97.202499,103.641678,103.641678,275594444
2022-11-15,103.637512,105.893135,102.713745,103.859001,103.859001,205752751
2022-11-16,103.838936,109.088020,103.151390,104.477371,104.477371,239230175
2022-11-17,104.471832,105.080185,101.848083,103.759270,103.759270,206654312
2022-11-18,103.758980,105.457153,103.742439,104.720985,104.720985,173437211
2022-11-19,104.720367,105.967934,104.207481,104.819794,104.819794,168724308
2022-11-20,104.829834,107.285294,103.564880,104.890907,104.890907,248473934
2022-11-21,104.897545,106.986496,101.276985,103.249161,103.249161,315062965
2022-11-22,103.230873,109.032555,103.203224,108.964523,108.964523,277512212
2022-11-23,108.974434,118.601112,108.644485,114.891685,114.891685,364874328
2022-11-24,114.897156,118.038139,113.340309,115.918991,115.918991,289855568
2022-11-25,115.907028,116.017830,113.314987,113.823303,113.823303,206165000
2022-11-26,113.814308,115.538002,111.863701,112.441277,112.441277,192168490
2022-11-27,112.442757,113.379951,111.155418,111.241226,111.241226,154665479
2022-11-28,111.225723,111.901840,106.731216,110.080902,110.080902,194956339
2022-11-29,110.076294,112.786774,109.590912,111.111900,111.111900,175021732
2022-11-30,111.122398,114.202934,110.867989,113.390724,113.390724,188335842
2022-12-01,113.390457,113.599937,110.078781,110.307671,110.307671,170949348
2022-12-02,110.311172,112.011124,108.924179,111.934479,111.934479,153274799
2022-12-03,111.952660,111.988548,109.822189,109.891747,109.891747,127942793
2022-12-04,109.879631,111.708015,109.816704,111.154823,111.154823,145041966
2022-12-05,111.151619,116.640495,110.120293,110.397209,110.397209,203082882
2022-12-06,110.400902,112.038353,110.400902,112.029930,112.029930,159142305
2022-12-07,112.020805,112.525192,108.264648,109.199883,109.199883,156533462
2022-12-08,109.203049,112.171265,108.692024,111.847878,111.847878,148391126
2022-12-09,111.841789,112.143929,109.245399,109.748016,109.748016,131120607
2022-12-10,109.759483,110.437233,109.052391,109.072510,109.072510,96665780
2022-12-11,109.087830,109.901031,106.264587,106.339752,106.339752,239688863
2022-12-12,106.331398,106.693810,104.064529,106.245682,106.245682,136423089
2022-12-13,106.262695,110.936646,104.258499,110.039352,110.039352,202881888
2022-12-14,110.035103,110.901466,108.265312,109.108498,109.108498,144048921
2022-12-15,109.087715,109.818871,107.021339,107.252739,107.252739,135525935
2022-12-16,107.254570,107.768158,99.825249,100.194496,100.194496,164515036
2022-12-17,100.185165,103.147408,99.314857,103.089447,103.089447,141948275
2022-12-18,103.090652,103.253647,101.794487,102.101646,102.101646,82518306
2022-12-19,102.096031,102.849083,98.559998,98.559998,98.559998,134472213
2022-12-20,98.567757,102.259018,98.560928,101.792229,101.792229,124604132
2022-12-21,101.779037,102.178398,100.096107,100.340439,100.340439,102295161
2022-12-22,100.348633,101.361633,99.586548,101.359688,101.359688,101874609
2022-12-23,101.362350,102.570778,101.285881,101.949196,101.949196,95474710
2022-12-24,101.953743,102.638863,101.731064,101.806419,101.806419,68743900
2022-12-25,101.808769,102.005859,99.953728,101.351715,101.351715,89486065
2022-12-26,101.354477,103.424637,100.999405,103.384392,103.384392,94382578
2022-12-27,103.382568,103.590500,101.520760,101.691376,101.691376,99717575
2022-12-28,101.702866,102.427444,98.959030,99.176765,99.176765,121739372
2022-12-29,99.168228,100.160416,97.710190,98.400665,98.400665,117365942
2022-12-30,98.406990,98.450287,95.729805,96.646339,96.646339,147217395
2022-12-31,96.649406,98.288910,96.527817,97.072144,97.072144,99844577
2023-01-01,97.074486,97.477776,96.472054,96.955070,96.955070,77861035
2023-01-02,96.952942,100.174614,95.872780,99.310051,99.310051,114241757
2023-01-03,99.301437,100.327415,98.948090,99.649353,99.649353,110701275
2023-01-04,99.648148,102.294632,99.584465,101.482735,101.482735,147986336
2023-01-05,101.487122,103.261269,100.993004,101.084549,101.084549,139283849
2023-01-06,101.084061,101.764961,98.445663,101.626511,101.626511,147863090
2023-01-07,101.624496,102.092773,101.412415,101.518295,101.518295,106519970
2023-01-08,101.508499,103.423676,101.067688,103.423676,103.423676,115698170
2023-01-09,103.442383,107.608208,103.442383,107.110870,107.110870,196600228
2023-01-10,107.096153,108.613739,106.029800,107.459534,107.459534,162339916
2023-01-11,107.454773,109.757645,105.691376,109.751808,109.751808,151126033
2023-01-12,110.870285,123.868195,108.159760,119.710464,119.710464,335419197
2023-01-13,119.711639,126.685692,118.216690,124.350800,124.350800,267055371
2023-01-14,124.348160,130.498062,122.839584,125.948715,125.948715,301481038
2023-01-15,125.944046,126.733429,121.976913,124.909134,124.909134,223512411
2023-01-16,124.905968,126.852585,120.820770,123.950554,123.950554,229264592
2023-01-17,123.960533,125.166267,122.333565,122.804466,122.804466,182486972
2023-01-18,122.807831,126.683273,117.692665,119.094177,119.094177,239576877
2023-01-19,119.081833,122.222092,118.957863,121.667961,121.667961,173405717
2023-01-20,121.661545,127.907608,120.560471,127.907608,127.907608,183173886
2023-01-21,127.927330,133.287674,126.764214,128.222672,128.222672,251243207
2023-01-22,128.220566,132.227341,127.642578,128.634430,128.634430,205987418
2023-01-23,128.627304,137.050247,128.559677,133.398071,133.398071,248410473
2023-01-24,133.371719,136.700409,127.379585,128.296249,128.296249,216925422
2023-01-25,128.316711,133.881500,126.007454,131.893646,131.893646,197388003
2023-01-26,131.864120,134.579086,130.281418,134.019211,134.019211,226363781
2023-01-27,134.014633,136.072998,132.423737,134.915115,134.915115,191933573
2023-01-28,134.923828,135.569809,131.820999,132.631836,132.631836,168595111
2023-01-29,132.630173,137.993179,132.169113,136.719681,136.719681,208860844
2023-01-30,136.716431,136.716431,128.471756,130.905991,130.905991,203674676
2023-01-31,130.909561,135.488571,130.832016,133.396729,133.396729,186997808
2023-02-01,133.371216,136.634094,130.312683,136.291779,136.291779,182482657
